Date,Value
09/11/16,621.65
09/12/16,609.67
09/13/16,610.92
09/14/16,608.82
09/15/16,610.38
09/16/16,609.11
09/17/16,607.04
09/18/16,611.58
09/19/16,610.19
09/20/16,608.66
09/21/16,598.88
09/22/16,597.42
09/23/16,594.08
09/24/16,603.88
09/25/16,601.74
09/26/16,598.98
09/27/16,605.96
09/28/16,605.67
09/29/16,603.85
09/30/16,609.39
10/01/16,614.82
10/02/16,612.98
10/03/16,611.85
10/04/16,609.62
10/05/16,607.18
10/06/16,612.08
10/07/16,617.21
10/08/16,614.74
10/09/16,615.65
10/10/16,617.54
10/11/16,614.77
10/12/16,635.01
10/13/16,635.96
10/14/16,634.02
10/15/16,637.94
10/16/16,641.42
10/17/16,638.97
10/18/16,636.29
10/19/16,629.25
10/20/16,627.72
10/21/16,631.92
10/22/16,655.48
10/23/16,653.25
10/24/16,651.39
10/25/16,655.31
10/26/16,651.45
10/27/16,682.22
10/28/16,687.68
10/29/16,685.91
10/30/16,698
10/31/16,702
11/01/16,697.01
11/02/16,733.33
11/03/16,686.17
11/04/16,683.69
11/05/16,704.79
11/06/16,712
11/07/16,709.96
11/08/16,708.97
11/09/16,720.93
11/10/16,721.5
11/11/16,715.45
11/12/16,703.71
11/13/16,702.28
11/14/16,706.46
11/15/16,710.91
11/16/16,711.73
11/17/16,736.96
11/18/16,747.52
11/19/16,748.98
11/20/16,729.06
11/21/16,738.53
11/22/16,736.97
11/23/16,741.63
11/24/16,737.45
11/25/16,735.64
11/26/16,733.67
11/27/16,727.96
11/28/16,727.31
11/29/16,732.71
11/30/16,742.69
12/01/16,742.05
12/02/16,772.43
12/03/16,764.33
12/04/16,762.97
12/05/16,754.63
12/06/16,756.62
12/07/16,758.99
12/08/16,769.72
12/09/16,770.02
12/10/16,769.08
12/11/16,777
12/12/16,777
12/13/16,777.99
12/14/16,774.89
12/15/16,776.75
12/16/16,775.88
12/17/16,788.7
12/18/16,788.4
12/19/16,788.67
12/20/16,793.09
12/21/16,824.21
12/22/16,834.97
12/23/16,901.31
12/24/16,891.61
12/25/16,892.6
12/26/16,897.33
12/27/16,930.37
12/28/16,930.34
12/29/16,963.38
12/30/16,952.15
12/31/16,958.12
01/01/17,997.72
01/02/17,1015.97
01/03/17,1013.42
01/04/17,1126.76
01/05/17,994.67
01/06/17,999.65
01/07/17,896.83
01/08/17,908.14
01/09/17,910.49
01/10/17,906.05
01/11/17,785.22
01/12/17,780.92
01/13/17,826.29
01/14/17,817.91
01/15/17,819.55
01/16/17,830.5
01/17/17,903.84
01/18/17,906.6
01/19/17,895.798875
01/20/17,893.6210875
01/21/17,895.64
01/22/17,918.603625
01/23/17,922.0736125
01/24/17,919.97
01/25/17,893.045625
01/26/17,915.95625
01/27/17,915.05
01/28/17,920.31225
01/29/17,915.933
01/30/17,912.19
01/31/17,964.706075
02/01/17,979.703875
02/02/17,983.42
02/03/17,1013.027
02/04/17,1030.999413
02/05/17,1034.07
02/06/17,1024.01375
02/07/17,1050.11
02/08/17,1052.84
02/09/17,976.103
02/10/17,999.1035
02/11/17,997.59
02/12/17,1000.604625
02/13/17,999.877375
02/14/17,1001.2
02/15/17,1012.325988
