Date,Value
09/12/16,1324.6
09/13/16,1323.65
09/14/16,1321.75
09/15/16,1310.8
09/16/16,1308.35
09/19/16,1314.85
09/20/16,1313.8
09/21/16,1326.1
09/22/16,1339.1
09/23/16,1338.65
09/26/16,1340.5
09/27/16,1327
09/28/16,1322.5
09/29/16,1318.1
09/30/16,1322.5
10/03/16,1313.3
10/04/16,1283.3
10/05/16,1269.4
10/06/16,1254.5
10/07/16,1258.75
10/10/16,1259.5
10/11/16,1253.45
10/12/16,1256.5
10/13/16,1261.05
10/14/16,1251.75
10/17/16,1254.8
10/18/16,1258.2
10/19/16,1269.05
10/20/16,1271.65
10/21/16,1266.05
10/24/16,1265.55
10/25/16,1269.4
10/26/16,1270.5
10/27/16,1266.25
10/28/16,1273
10/31/16,1272
11/01/16,1288.45
11/02/16,1303.75
11/03/16,1301
11/04/16,1302.8
11/07/16,1283.05
11/08/16,1282.35
11/09/16,1281.4
11/10/16,1267.5
11/11/16,1236.45
11/14/16,1213.6
11/15/16,1226.95
11/16/16,1229.2
11/17/16,1226.75
11/18/16,1211
11/21/16,1214.25
11/22/16,1212.25
11/23/16,1185.35
11/24/16,1186.1
11/25/16,1187.7
11/28/16,1187
11/29/16,1186.55
11/30/16,1178.1
12/01/16,1161.85
12/02/16,1173.5
12/05/16,1162.2
12/06/16,1172.5
12/07/16,1177.65
12/08/16,1171.05
12/09/16,1163.6
12/12/16,1156.1
12/13/16,1158.55
12/14/16,1162.25
12/15/16,1126.95
12/16/16,1131.6
12/19/16,1136.25
12/20/16,1125.7
12/21/16,1133.65
12/22/16,1131.35
12/23/16,NaN
12/28/16,1134.6
12/29/16,1145.9
12/30/16,NaN
01/03/17,1151
01/04/17,1164.25
01/05/17,1176.7
01/06/17,1175.85
01/09/17,1178.5
01/10/17,1189.5
01/11/17,1178.55
01/12/17,1205.05
01/13/17,1190.35
01/16/17,1203
01/17/17,1216.05
01/18/17,1214.75
01/19/17,1196.05
01/20/17,1200.55
01/23/17,1212.85
01/24/17,1216.8
01/25/17,1195
01/26/17,1189.7
01/27/17,1184.85
01/30/17,1192.8
01/31/17,1212.8
02/01/17,1203.65
02/02/17,1221.95
02/03/17,1215.2
02/06/17,1226.75
02/07/17,1231
02/08/17,1242.1
02/09/17,1236.8
02/10/17,1228.3
02/13/17,1222.25
02/14/17,1230.75
02/15/17,1224.4
02/16/17,1240.55
02/17/17,1241.95
02/20/17,1237.3
02/21/17,1233.2
02/22/17,1236.65
02/23/17,1247.9
02/24/17,1253.65
02/27/17,1257.2
02/28/17,1255.6
03/01/17,1240.4
03/02/17,1238.1
03/03/17,1226.5
03/06/17,1230.95
03/07/17,1216.65
03/08/17,1209.2
03/09/17,1206.55
03/10/17,1202.65
03/13/17,1204.2
03/14/17,1204.6
03/15/17,1198.8
03/16/17,1229.35
03/17/17,1229.6
03/20/17,1232.4
03/21/17,1241.6
03/22/17,1249.05
03/23/17,1247.5
03/24/17,1247.5
03/27/17,1257.55
03/28/17,1257.25
03/29/17,1251.1
03/30/17,1248.8
03/31/17,1244.85
04/03/17,1247.25
04/04/17,1257.65
04/05/17,1245.8
04/06/17,1252.5
04/07/17,1266.45
04/10/17,1250.05
04/11/17,1252.9
04/12/17,1274.3
04/13/17,1284.15
04/18/17,1278.95
04/19/17,1279.05
04/20/17,1282.1
04/21/17,1281.85
04/24/17,1269.4
04/25/17,1267.8
04/26/17,1261.85
04/27/17,1262.8
04/28/17,1266.45
05/02/17,1255.45
05/03/17,1250.3
05/04/17,1228.45
05/05/17,1228.05
05/08/17,1229.8
05/09/17,1220.4
05/10/17,1222.95
05/11/17,1223.15
05/12/17,1231.25
05/15/17,1233.3
05/16/17,1234.2
05/17/17,1257.4
05/18/17,1255.9
05/19/17,1252
05/22/17,1258.85
05/23/17,1260.2
05/24/17,1252.55
05/25/17,1256.95
05/26/17,1265.05
05/30/17,1262.7
05/31/17,1266.2
06/01/17,1264.85
06/02/17,1274.95
06/05/17,1279.95
06/06/17,1293.5
06/07/17,1291
06/08/17,1273.1
06/09/17,1266.55
06/12/17,1266.4
06/13/17,1262
06/14/17,1275.5
06/15/17,1254.55
06/16/17,1255.4
06/19/17,1248.15
06/20/17,1242.2
06/21/17,1242.5
06/22/17,1250.8
06/23/17,1255.7
06/26/17,1245.25
06/27/17,1249.55
06/28/17,1248
06/29/17,1243.5
06/30/17,1242.25
07/03/17,1229.25
07/04/17,1223.75
07/05/17,1220.3
07/06/17,1224.9
07/07/17,1215.65
07/10/17,1211.9
07/11/17,1211.05
07/12/17,1218.8
07/13/17,1218.9
07/14/17,1230.3
07/17/17,1234.1
07/18/17,1240.75
07/19/17,1242.15
07/20/17,1238.7
07/21/17,1248.55
07/24/17,1255.55
07/25/17,1254.4
07/26/17,1248.1
07/27/17,1261.1
07/28/17,1264.9
07/31/17,1267.55
08/01/17,1270.95
08/02/17,1269.6
08/03/17,1268.1
08/04/17,1257.7
08/07/17,1258
08/08/17,1261.8
08/09/17,1271.05
08/10/17,1284.4
08/11/17,1286.1
08/14/17,1282.3
08/15/17,1270.3
08/16/17,1272.75
08/17/17,1285.15
08/18/17,1295.8
08/21/17,1292.9
08/22/17,1284.2
08/23/17,1286.65
08/24/17,1289
08/25/17,1285.3
08/29/17,1318.65
08/30/17,1308.5
08/31/17,1311.75
09/01/17,1320.4
09/04/17,1333.1
09/05/17,1335.55
09/06/17,1337.85
09/07/17,1343.5
09/08/17,1346.25
09/11/17,1334.2
09/12/17,1326.5
09/13/17,1327.55
09/14/17,1324.55
09/15/17,1322.85
09/18/17,1312.1
09/19/17,1309.6
09/20/17,1311.3
09/21/17,1292.1
09/22/17,1294.8
09/25/17,1293.3
09/26/17,1300.05
09/27/17,1282.55
09/28/17,1283.35
09/29/17,1283.1
10/02/17,1273.7
10/03/17,1271.25
10/04/17,1274.25
10/05/17,1274.5
10/06/17,1261.8
10/09/17,1278.75
10/10/17,1291.4
10/11/17,1289.25
